Date;Message;Logtext
2022.06.17 10:58:00.000;Ναμ νε λιβερ ιγνοτα εvερτι; νατθμ νονθμυ ιντελλεγατ νεc εθ, σεδ ιλλθδ σcριπσεριτ αδ.
2022.06.17 10:58:00.001;Σιτ ει ορνατθσ περσεcθτι; ηισ θβιqθε φιερεντ νε.
2022.06.17 10:58:00.002;Σολθμ ηομερο ταμqθαμ νεc εα; ηισ ετ jθστο αθδιαμ.
2022.06.17 10:58:00.003;Qθισ; vολθπταρια cθ εστ.
2022.06.17 10:58:00.004;Cθμ φαcερ απεριαμ νε; εα vιξ σολθμ cονσεqθθντθρ.
2022.06.17 10:58:00.005;Προ ιισqθε ερθδιτι εθ; θτ σολετ ηομερο ηαβεμθσ qθι, ταντασ αλιqθιδ νε ιθσ.
2022.06.17 10:58:00.006;Ιδ θσθ οβλιqθε ερθδιτι φαcιλισ; θσθ ιν ορατιο δελενιτ σθσcιπιτ, φιερεντ θρβανιτασ cονcλθσιονεμqθε ιδ πρι.
2022.06.17 10:58:00.007;Νο εστ; αετερνο cονσεqθατ.
2022.06.17 10:58:00.008;Vιμ οβλιqθε; σθσcιπιτ αδιπισcινγ εξ.
2022.06.17 10:58:00.009;Ετ ερροριβθσ; cομπλεcτιτθρ εαμ.
